"infgeneral.date.sq.","infgeneral.values.sq.","infsub_total.values.sq.","infmerc.values.sq.","infserv.values.sq.","infnosub.values.sq.","infagro.values.sq.","infenerg.values.sq."
1996-09-01,1.6,1.75,NA,NA,1.17,NA,NA
1996-08-01,1.33,1.35,NA,NA,1.28,NA,NA
1996-07-01,1.42,1.5,NA,NA,1.19,NA,NA
1996-06-01,1.63,1.72,NA,NA,1.37,NA,NA
1996-05-01,1.82,1.82,NA,NA,1.84,NA,NA
1996-04-01,2.84,2.75,NA,NA,3.1,NA,NA
1996-03-01,2.2,2.33,NA,NA,1.83,NA,NA
1996-02-01,2.33,2.37,NA,NA,2.23,NA,NA
1996-01-01,3.59,3.24,NA,NA,4.61,NA,NA
1995-12-01,3.26,2.81,NA,NA,4.58,NA,NA
1995-11-01,2.47,2.04,NA,NA,3.74,NA,NA
1995-10-01,2.06,1.75,NA,NA,2.99,NA,NA
1995-09-01,2.07,2.34,NA,NA,1.26,NA,NA
1995-08-01,1.66,1.86,NA,NA,1.06,NA,NA
1995-07-01,2.04,2.09,NA,NA,1.89,NA,NA
1995-06-01,3.17,3.41,NA,NA,2.48,NA,NA
1995-05-01,4.18,4.94,NA,NA,2.02,NA,NA
1995-04-01,7.97,7.58,NA,NA,9.09,NA,NA
1995-03-01,5.9,4.73,NA,NA,9.18,NA,NA
1995-02-01,4.24,4.57,NA,NA,3.13,NA,NA
1995-01-01,3.76,3.7,NA,NA,3.99,NA,NA
1994-12-01,0.88,0.78,NA,NA,1.21,NA,NA
1994-11-01,0.53,0.52,NA,NA,0.59,NA,NA
1994-10-01,0.52,0.51,NA,NA,0.58,NA,NA
1994-09-01,0.71,0.81,NA,NA,0.38,NA,NA
1994-08-01,0.47,0.5,NA,NA,0.35,NA,NA
1994-07-01,0.44,0.35,NA,NA,0.75,NA,NA
1994-06-01,0.5,0.52,NA,NA,0.42,NA,NA
1994-05-01,0.48,0.57,NA,NA,0.18,NA,NA
1994-04-01,0.49,0.63,NA,NA,0.03,NA,NA
1994-03-01,0.51,0.74,NA,NA,-0.21,NA,NA
1994-02-01,0.51,0.84,NA,NA,-0.54,NA,NA
1994-01-01,0.78,0.66,NA,NA,1.16,NA,NA
1993-12-01,0.76,0.37,NA,NA,2.04,NA,NA
1993-11-01,0.44,0.36,NA,NA,0.7,NA,NA
1993-10-01,0.41,0.59,NA,NA,-0.2,NA,NA
1993-09-01,0.74,0.79,NA,NA,0.56,NA,NA
1993-08-01,0.54,0.64,NA,NA,0.18,NA,NA
