"imcp_total_desest.date","imcp_total_desest.values","imcp_nacional_desest.values","imcp_nacional_bienes_desest.values","imcp_nacional_servicios_desest.values","imcp_importado_desest.values"
2012-12-01,97.360500725046,97.907575927366,97.948425931297,98.323664421791,92.898173457707
2012-11-01,99.963592490976,100.13634318155,101.268404123094,98.687701296761,96.278664692602
2012-10-01,99.037959397793,99.748084476162,101.07008383239,98.27432005166,91.2588925609
2012-09-01,99.007395666219,99.909678960382,101.252543587791,98.1061950625,91.163281119811
2012-08-01,98.441753999755,99.380983901285,100.955441936271,97.913297588006,90.188351013055
2012-07-01,98.407865586565,99.472674292885,101.36268827287,97.398861779747,89.709914158858
2012-06-01,98.224777192902,99.464268677962,101.909254686727,97.067887760663,86.631716507588
2012-05-01,97.360446136793,98.671537263961,100.895365361088,96.67673350151,86.554748321795
2012-04-01,98.016596883241,98.741651038924,101.438124418282,96.122183458448,91.941181900744
2012-03-01,97.86244979676,99.020190945913,102.062267422504,95.881617054569,87.897609781812
2012-02-01,98.075600138848,99.257632416984,102.608582610225,95.925717396364,87.195489300095
2012-01-01,98.409557246502,99.378100206364,102.701722441443,95.849482037188,90.389463585599
2011-12-01,97.854340565493,98.643304017748,102.026847881064,95.992902051174,89.337893855369
2011-11-01,97.260584177009,98.445469889858,102.422047304392,93.788006570197,84.039803080277
2011-10-01,97.516093654744,98.982709801535,102.639144726386,94.912862807503,85.638210088869
2011-09-01,97.606694042013,98.78633252916,102.696095943886,94.480568005399,87.363272203413
2011-08-01,97.146492978003,98.242157294701,102.682381406759,93.704952563837,86.196084066351
2011-07-01,96.498504745722,97.865954747319,102.217886147077,93.328527689644,84.783012638925
2011-06-01,95.881600720438,97.072680661882,101.677844984993,92.718380161785,85.494643693261
2011-05-01,95.771986558098,97.076889836852,101.918650645984,92.501437818197,86.162985488291
2011-04-01,95.326148074349,96.659249080019,100.968749229352,92.354265296789,83.048424297372
2011-03-01,95.241190899659,96.723136588294,101.937225828258,91.371497820559,82.563751698867
2011-02-01,94.308044368133,95.662024374237,99.949569235157,91.328931306652,82.632990541048
2011-01-01,92.912146520231,94.161180341855,96.832393036217,91.117597389954,82.442734708033
2010-12-01,94.962015285757,96.104836144288,102.037420505893,90.871354235601,79.458860826253
2010-11-01,94.942380107653,95.993323148026,100.407484641625,90.976268078435,83.155445394493
2010-10-01,93.621117482473,94.910879783517,98.784144590611,90.70706169351,83.431529461082
2010-09-01,93.954926790733,95.643151602259,100.57610737443,90.212009130803,79.906163717443
2010-08-01,93.109125806472,94.639592934729,99.09952840893,90.037957829763,79.81841945545
2010-07-01,92.719503699244,94.245186378259,98.107904405359,90.163051216129,79.499556928589
2010-06-01,93.000298978058,94.558857650352,98.989921811569,90.443470703287,78.536167112344
2010-05-01,93.060559571258,94.376849905917,99.04337056118,90.168064699843,83.829324548543
2010-04-01,92.62459951041,94.286454840011,98.517614028093,90.049582014504,78.253025233024
2010-03-01,92.161455266947,93.527632900732,97.182694096891,89.769692775116,80.129735219855
2010-02-01,92.110873685969,93.485412718401,97.607475046031,89.197434468542,80.523748573656
2010-01-01,90.728343059558,92.023168682124,94.439230797179,89.126315612344,80.697407028327
2009-12-01,93.707632276073,94.179076317492,99.603904533092,89.0047072519,80.47058340904
2009-11-01,92.216981150127,93.893246663389,98.469738295951,88.980039154074,77.086609965405
2009-10-01,91.358170579565,93.660510089428,97.826742406263,89.194992868472,72.744255431303
2009-09-01,90.404651107692,92.652104282255,95.964987429237,89.203414720572,71.401792071228
2009-08-01,90.949988233286,92.968630328747,95.980981501631,89.687268407163,73.696061200848
2009-07-01,89.91224060853,92.09140811131,95.060480497797,88.943598198472,70.85161253333
2009-06-01,88.460835885912,90.411283886014,93.272287725212,87.912307240292,70.688088421723
2009-05-01,86.128172002106,88.401435788961,92.767381451747,84.687215751071,66.788792789341
2009-04-01,89.047166827238,91.200549506553,94.976083642895,87.353898146371,69.707070613163
2009-03-01,89.70882405489,92.154480287783,95.967197159109,88.159014331199,69.106178646736
2009-02-01,89.401879470624,91.701819129695,94.5691827111,88.488515871038,69.321209893993
2009-01-01,88.60204315754,90.973037339278,93.115157749313,88.346172156014,67.646821247905
2008-12-01,91.732637076146,92.204903676577,96.084643632285,88.288895212768,76.636544104056
2008-11-01,93.257704568035,95.086384762387,101.855548220498,87.979023172324,77.613732922406
2008-10-01,94.120489556454,95.35446891582,102.616645483281,87.755856688016,83.949378428987
2008-09-01,95.375986792651,96.384639988846,104.018687473287,88.625654051616,86.823430908083
2008-08-01,95.867240656632,97.006539792508,104.920112341787,88.915944956881,87.133159610714
2008-07-01,97.234437532142,97.896255981433,106.359286082936,89.021703319067,92.248081236472
2008-06-01,97.520591179999,98.500263804519,106.309231966589,90.966895642952,89.61858349712
2008-05-01,96.957802976048,98.06198320998,105.896685762165,90.803715949832,88.832042750625
2008-04-01,96.303403063132,97.456977742443,105.248516744852,89.703702555961,85.100548051264
2008-03-01,96.280888150827,97.160910294483,104.572996642204,89.554039836257,90.595363061087
2008-02-01,96.724656803452,97.481015318926,105.491729891224,89.311869664345,91.049716728365
2008-01-01,96.277644543585,96.888446331751,104.50181165477,88.889982730964,92.465305688712
2007-12-01,94.097995156665,93.524760365078,97.690300926331,88.94365208888,90.551276082041
2007-11-01,95.014911471431,95.539533893474,102.008854245493,89.043231882324,90.085591541345
2007-10-01,96.468878770118,97.484052656362,105.835694117934,88.729661110904,86.660269590408
2007-09-01,95.537680116617,96.4073308368,104.540091736569,88.150745604608,89.525518154197
2007-08-01,95.740585528452,96.573854416962,104.978418004043,88.075033199846,89.18459137985
2007-07-01,94.788810499005,96.13984224309,104.099832693545,87.833103899967,83.131878817549
2007-06-01,95.683678811284,96.333062732696,104.906945730505,87.857146003083,89.814036470536
2007-05-01,94.997278093696,96.022838192372,104.490562605906,87.744659947295,86.862040765825
2007-04-01,95.190408802284,95.997861619803,103.701845205792,88.367992085055,88.619889334576
2007-03-01,94.893503436675,95.788339644796,104.27811497023,87.259170636012,88.291515803777
2007-02-01,94.14111463455,95.244510476815,103.254416321844,87.009933565609,85.430596493163
2007-01-01,93.800022000371,94.85808932482,102.255280862222,87.289273838729,84.221380145589
2006-12-01,93.846411908095,94.016404365774,101.54698284535,85.915580516686,86.342393942157
2006-11-01,94.170322793502,94.146755876751,102.198837658464,85.980314150934,93.135773417927
2006-10-01,93.618480958297,94.076666209952,102.095836025799,85.943490287988,89.387536239777
2006-09-01,93.469771002882,94.224462129955,102.205307334169,85.995068765878,87.120579502201
2006-08-01,92.868331470606,93.767234781285,101.507838988108,85.813907421936,85.403616103277
2006-07-01,92.710568982992,93.904326512895,102.248879595968,85.30780943014,82.109446218907
2006-06-01,92.817161934776,93.938037276763,102.48743054786,85.401721422927,82.42579185796
2006-05-01,92.743344998879,93.716000241344,102.107479604093,85.293008515036,84.480793225531
2006-04-01,92.547457119321,93.842465341598,102.264871625334,85.43475269965,81.258579528184
2006-03-01,91.198911602214,92.44389725207,100.847098907006,84.099531128027,80.772292225366
2006-02-01,91.736719602687,92.764559481449,101.761012988948,83.626747026649,83.466870218158
2006-01-01,91.362557652495,92.525752171378,101.68147900747,83.183269628117,83.106072567175
2005-12-01,90.183783886611,90.575801588849,98.051858465706,82.619898963754,82.230586366988
2005-11-01,90.083922275876,91.319082571198,100.46806952608,81.884781909177,77.61725057606
2005-10-01,89.621834936863,91.043292155674,100.023512548847,82.03599823457,77.48048807597
2005-09-01,90.116266749435,91.654440360865,100.942964369098,82.097348671324,77.147313290265
2005-08-01,89.618161493372,91.271905547692,100.565478680426,81.792906427659,74.564699348828
2005-07-01,89.044665996589,90.279722193519,98.98577153003,81.464880296001,78.227139145951
2005-06-01,88.300756364873,89.434647099662,97.093801809845,81.635685106102,77.365421370258
2005-05-01,88.947031269431,90.599404864022,99.473923010486,81.591443305691,74.576396615536
2005-04-01,88.760973440335,90.249431454759,98.697458075229,81.828252397929,75.042578336949
2005-03-01,88.318708955638,89.951109937453,98.081231268425,81.814598179368,74.184632299843
2005-02-01,88.566104208049,90.176852240452,98.334438740643,81.909427008788,74.450212445115
2005-01-01,88.702267290609,90.701595457795,99.215181677123,81.839891500051,73.123328839873
2004-12-01,89.058690993036,90.406025991063,98.611534350579,81.877885165698,74.062084171308
2004-11-01,89.263856449864,90.755032379522,99.513963941927,81.733431239311,74.437504894884
2004-10-01,87.008484561651,88.948201184066,96.545768490246,81.505664140382,70.322343358981
2004-09-01,87.354762048068,89.228699358864,97.065378389725,81.331294591112,70.994254237188
2004-08-01,87.40221628253,89.227480239749,97.228070418776,81.094445372733,71.275693324973
2004-07-01,87.167230036771,89.220535508307,97.302968690279,80.993998775615,68.419932835498
2004-06-01,86.789911422093,88.675676708202,96.777059121555,80.31423096116,67.496917434977
2004-05-01,86.276854775303,88.140180645999,96.182308774698,79.931984701988,69.189263742571
2004-04-01,85.518841196974,87.712462458989,95.424102302696,79.921474352508,66.436731072573
2004-03-01,86.330487472047,88.461027976418,97.255228002475,79.585994665917,66.704170803575
2004-02-01,84.867130778911,87.283259753676,95.328024942619,79.213597123328,63.146827817955
2004-01-01,83.375010053275,86.622278528172,93.64561402153,79.161251060088,57.27542646928
2003-12-01,85.196497712721,87.335332894137,95.200703017239,79.167873156479,63.517313407335
2003-11-01,84.032340406976,86.44513751736,94.299096634339,78.447691205415,62.497041375548
2003-10-01,83.171722316978,85.507001522567,93.242471577481,77.855470704948,63.095096178399
2003-09-01,83.123345212418,85.374753767035,93.350619248553,77.246203260513,62.170074704437
2003-08-01,82.518972934405,84.786024632252,92.6339729301,76.889066900485,61.98515360963
2003-07-01,82.641246060278,84.87376733862,92.723369158132,76.789131954869,62.603938896079
2003-06-01,82.535537987566,84.911683872148,93.116863539474,76.567855469825,59.380205631259
2003-05-01,82.060631968569,84.461531915285,92.231045367763,76.585924528914,59.67069294986
2003-04-01,82.626902640105,84.608805266756,92.709291223095,76.214572907111,64.584582078723
2003-03-01,82.226995123883,84.453628492804,92.916781621175,75.963119291741,62.000058460567
2003-02-01,82.396469358202,84.563256039432,93.361943804623,75.915530690415,62.303127876768
2003-01-01,82.182143122338,84.09709912933,92.242971960136,75.695765107334,69.842057023578
2002-12-01,80.887940514373,83.542836043778,91.368938382494,75.452430067958,56.432693486349
2002-11-01,80.903459467056,83.409108849933,91.369800143634,75.337217506278,58.233387898915
2002-10-01,81.758570117074,84.23643196163,92.836728050394,75.405574321987,60.108217614128
2002-09-01,81.204753861964,83.763962289338,92.351933415619,75.056089323876,57.683698749804
2002-08-01,81.423686894255,83.825204445847,92.553417562527,74.985150427802,59.819429277159
2002-07-01,81.414329522261,83.938438476375,93.016124610089,74.643005586232,58.245996315329
2002-06-01,81.351419389357,83.626054397148,92.135837448614,74.904842645084,59.256222605666
2002-05-01,81.163141768355,83.498972214797,92.255803000949,74.7142353336,60.327238625122
2002-04-01,81.886159493383,84.186576199302,93.420827615138,74.601822324432,61.025840345458
2002-03-01,80.922359613694,83.481480361369,92.869119408405,74.212034178579,57.301347801574
2002-02-01,79.593054249302,82.302475595229,90.990831659841,73.819052480082,54.221429866835
2002-01-01,79.76556814402,82.745414531044,91.196128801858,74.120955260232,54.917337836036
2001-12-01,80.527038895151,82.969650094383,91.30940491757,74.313379637087,57.99313931967
2001-11-01,80.036370008518,82.687722399371,91.010102263478,74.239078824615,56.909383573971
2001-10-01,80.080734554475,82.864852834257,91.306423393267,74.219145070084,55.379198175535
2001-09-01,80.308793674939,82.964008277232,91.119113691834,74.464586257978,55.203137832542
2001-08-01,79.932611449738,82.718056023024,90.628039558612,74.742497645425,55.710680440775
2001-07-01,79.367239383703,82.236287846271,89.464951288516,74.840627346867,53.338793354341
2001-06-01,80.600217003524,83.290151974091,91.71087091733,74.717317182032,55.324556451571
2001-05-01,79.27857651566,82.177389271122,89.832251459687,74.377116653607,53.416208378954
2001-04-01,79.059326075151,82.120023150209,89.627924909735,74.342586271095,51.5108141954
2001-03-01,79.554825149252,82.16612794459,89.73206728234,74.519175312876,55.527604959776
2001-02-01,79.027233760826,81.672755202528,89.248681651517,74.224160155936,54.19550079307
2001-01-01,79.068187402859,81.913661115715,89.916706065458,73.969519101043,54.080631523908
2000-12-01,79.494233829864,81.950017944481,90.406261496879,73.160203864147,56.244987372788
2000-11-01,79.602146747332,81.798479218041,89.985046532866,73.369865814513,59.986957294538
2000-10-01,79.863776788626,82.996624104255,92.521243507446,73.133944693717,52.602317389013
2000-09-01,79.022278626139,81.910707068656,90.448690923256,73.09777678897,51.591295084398
2000-08-01,78.048574628986,81.520315871884,90.248268649912,72.572730662618,47.875996803689
2000-07-01,78.833556765468,81.865396929724,90.944389072552,72.676316311461,50.99637933792
2000-06-01,77.968353623456,81.139190346659,90.05485539278,72.095181451233,49.778743331366
2000-05-01,77.372711971441,80.927671923356,89.735350051897,71.938983973719,46.012063024284
2000-04-01,76.709685041756,80.279215302746,88.561956730438,71.717562284437,43.955251644944
2000-03-01,76.08005176936,80.204872923954,88.873198714019,71.490244664066,39.090724395635
2000-02-01,75.727907918011,79.722930306662,88.294737896426,71.184726645248,39.122149742905
2000-01-01,75.75606046895,79.864583197698,89.063573761351,70.887312364908,36.803067534351
1999-12-01,74.757113809335,79.069185665289,87.453606706582,70.432188304474,35.504345775445
1999-11-01,73.241613395532,77.852977666279,84.714920385165,70.70988074879,33.725982030302
1999-10-01,73.608129831878,78.166359313218,85.606423210941,70.52710254237,33.981618234767
1999-09-01,73.691915677196,77.988627239463,85.52688990392,70.253495755731,34.657731819886
1999-08-01,73.204122354959,77.601115962822,84.955942474161,70.028946750618,33.887003121948
1999-07-01,73.308854593683,77.494351286074,84.81883998787,70.100133031827,35.133291209088
1999-06-01,72.439181204112,76.551818126637,83.602725074533,69.286696279188,35.810030186835
1999-05-01,72.659834445675,76.641676960242,84.114246236522,69.004689675703,36.524660328651
1999-04-01,72.325387484947,76.343253130484,83.747993432852,68.767709401632,37.346183550415
1999-03-01,72.092393213823,75.748937763575,82.877454180974,68.628036114157,37.880115147471
1999-02-01,71.553175675426,75.38230668104,82.2352543282,68.497121357354,35.704837392111
1999-01-01,71.347511896117,75.189778799653,82.352566482642,68.153677807649,35.464669034653
1998-12-01,70.475758028926,74.922865849026,81.777737348179,67.947914253132,29.571168248583
1998-11-01,70.228773086327,74.87438373776,81.87293000905,67.679765343673,29.801307340148
1998-10-01,70.213634892053,74.609172293886,81.477112856214,67.333168510206,31.871719047794
1998-09-01,70.303262242251,74.39517626057,81.019772818452,67.715918509695,32.925254906011
1998-08-01,70.282572387697,74.513789802107,81.164716661226,67.635765178404,31.752774869942
1998-07-01,69.930402767747,74.033992863408,80.660750133183,67.415283348532,34.178378652578
1998-06-01,69.649435920851,73.840519869046,80.352323917102,67.094100462049,32.569344258406
1998-05-01,70.035598637501,73.946176596752,80.572321337629,67.175761084229,35.227906209978
1998-04-01,69.152125550097,73.372327059944,79.541057203068,66.87480911126,32.426974776675
1998-03-01,69.91307271383,73.734024456517,80.760293666826,66.863009369296,33.765594184186
1998-02-01,68.521196881064,72.700841243023,78.734368402262,66.610514172946,29.733218059066
1998-01-01,67.420440687656,71.310357618876,76.078846067907,66.551437304643,30.890721908324
1997-12-01,67.549093709293,71.088371352578,76.253006845538,66.124801386428,34.468971253111
1997-11-01,67.797684727601,71.787813446387,77.36479527828,65.997855187597,31.528299230098
1997-10-01,67.262363429733,71.599218969953,77.053039636294,65.781089738766,29.642603925239
1997-09-01,66.198744230023,70.501305495658,75.770416310985,65.240145039591,27.069366320295
1997-08-01,66.176195988284,70.237592988079,75.121497755011,65.209763370885,29.818650419977
1997-07-01,65.514417642261,69.702052817439,74.452490002341,64.849312297781,28.870498974277
1997-06-01,65.973854079801,69.965976308026,74.916607413392,64.834678607507,30.49573330424
