"imcp_total.date","imcp_total.values","imcp_nacional.values","imcp_nacional_bienes.values","imcp_nacional_servicios.values","imcp_importado.values"
2017-02-01,106.357207014778,106.813402315502,101.580261910447,112.136633532407,102.241965868122
2017-01-01,115.777431581865,117.496985272667,118.670980384971,116.302779318575,100.265702085679
2016-12-01,116.554494169894,117.321929414547,115.87156932224,118.797258093223,109.631623436303
2016-11-01,114.664202637153,114.280432833695,114.917247407286,113.632655217363,118.126108718876
2016-10-01,113.443620072046,112.603985272284,112.697502875273,112.508857722663,121.017787694237
2016-09-01,108.834612468301,107.52192497058,104.673910283597,110.418969481998,120.676088245766
2016-08-01,112.249246546042,111.338522609022,107.839380195408,114.897904297033,120.464694212689
2016-07-01,109.537130989169,110.226600991516,104.77677031257,115.770252900604,103.317568186708
2016-06-01,109.722967257873,110.098059183922,107.124498256961,113.122811269013,106.339342469534
2016-05-01,108.176654855924,108.45096279236,104.250882108763,112.723349710709,105.702181083217
2016-04-01,106.838609888629,106.850877648265,102.411934159734,111.366239499706,106.727945028323
2016-03-01,106.477420396724,106.355991048858,100.072432768719,112.747723546187,107.572808814704
2016-02-01,103.914416700303,104.038178930899,98.706722735687,109.461418487495,102.797983841523
2016-01-01,109.921465442542,111.363418158723,111.336285252397,111.391018169955,96.913915518786
2015-12-01,110.874080044089,110.312288029741,106.787125816488,113.898137459677,115.941886769926
2015-11-01,109.38780745019,107.852649619367,105.88592519263,109.853232071414,123.236140964323
2015-10-01,111.763235624443,109.193061894151,109.841923281344,108.533030073026,134.948228262804
2015-09-01,104.840094821305,103.065074578528,100.116460676034,106.064450165162,120.852176330304
2015-08-01,106.469765950839,105.439357316712,101.395302487492,109.553032327033,115.764863910628
2015-07-01,106.374193989426,105.834416891568,101.692097875723,110.04804774967,111.243408818253
2015-06-01,105.107954159164,104.237051334337,101.149706228422,107.377546443028,112.964184010221
2015-05-01,103.704951372224,103.615198264268,100.681225853989,106.599680298964,104.514595141719
2015-04-01,101.885447044233,101.877085518724,97.893987291943,105.928754531906,101.960874594166
2015-03-01,103.086616799312,103.104520409644,98.94031690737,107.340412505227,102.925112124022
2015-02-01,97.605488743872,98.378799614847,94.459555186192,102.365515558708,90.629615230183
2015-01-01,106.129996108668,107.304964862435,109.501869537782,105.070239507642,95.530851939807
2014-12-01,106.042955917107,105.820396497808,104.951288718493,106.704466349486,108.050617281485
2014-11-01,105.227946651158,104.750404833762,106.375515925564,103.097316740336,109.535750201693
2014-10-01,107.619521488808,105.514933546342,108.933260725394,102.03775836267,126.604563386082
2014-09-01,100.630855443018,99.530247823055,99.046924753145,100.021891512016,110.55920357988
2014-08-01,102.510984474735,102.117048721613,101.024427230502,103.228480171862,106.06459543436
2014-07-01,104.217294488062,104.124447648866,103.876519137854,104.37664435815,105.054846151548
2014-06-01,101.346626502541,102.040024225094,102.414133346133,101.659474651129,95.091632568324
2014-05-01,103.030202876764,103.197904660702,104.590564713559,101.781269353012,101.517400617437
2014-04-01,100.137372489355,100.111766177539,98.576581519604,101.673379714018,100.368361602646
2014-03-01,99.4729877386,99.984702159307,97.143156416757,102.875166360572,94.856920374279
2014-02-01,95.054367338321,95.708807655081,93.228504411958,98.231810408537,89.150799907258
2014-01-01,102.955513826061,103.945363872139,106.536952041527,101.309160373506,94.026286295287
2013-12-01,102.99484316482,103.273476512701,102.300511466415,104.263191579841,100.481350771967
2013-11-01,103.312615759215,102.960890570786,105.359419440581,100.52106997243,106.485454158563
2013-10-01,104.585331197046,102.648013719458,105.981764252652,99.256871205772,122.061461672839
2013-09-01,96.930445287623,96.066539257583,94.059360749107,98.108272226164,104.72355853544
2013-08-01,101.228193891647,100.932266158638,100.230792990785,101.645815495349,103.897695268314
2013-07-01,101.593893750944,101.538823654349,100.785390902589,102.305227082036,102.090669423775
2013-06-01,97.512750852369,98.585916951826,98.05748663067,99.123444433187,87.831946857529
2013-05-01,101.104782787307,101.331887603395,101.877035426687,100.777354820753,99.0561183616
2013-04-01,99.43000544918,98.925536686743,99.071817500034,98.776737584966,103.9807112655
2013-03-01,96.28270557026,97.206730610177,94.51440311602,99.945407705328,87.947271472694
2013-02-01,93.724882012548,94.395207576433,92.840546534096,95.976632791832,87.678017133026
2013-01-01,101.299550277039,102.134710697911,104.921470990364,99.299975102343,93.765745078754
2012-12-01,99.1829270641,100.179138895436,99.550205276997,100.818899882511,90.196311216484
2012-11-01,103.302243499144,102.716234886998,107.005112422087,98.353522440335,108.588503022579
2012-10-01,102.412702454664,101.577350382988,106.166641495267,96.909052607384,109.948236494245
2012-09-01,95.831097912116,96.367675214969,97.139970606926,95.582084418444,90.990747756045
2012-08-01,100.075731490663,100.287143931809,101.584505773753,98.967447435612,98.168624654318
2012-07-01,98.526391218991,99.888665907813,100.330672684922,99.43904978979,86.237599897407
2012-06-01,97.608531209219,99.627835871502,102.529572897839,96.676144167049,79.392811712185
2012-05-01,98.666313919866,100.061948323254,103.059345157607,97.012949985149,86.076591681626
2012-04-01,94.631685967293,95.903610227987,95.459355842807,96.355512647641,83.157926713908
2012-03-01,97.909889575403,99.224298621269,101.715247964575,96.690466490335,86.052884076894
2012-02-01,93.492957032291,94.824644099765,95.888442730426,93.742531708175,81.480090161827
2012-01-01,98.530527297161,100.085264417551,103.794315772704,96.312360113324,84.505573160408
2011-12-01,101.481464046678,102.633877659142,106.732344513309,98.464853896953,91.085785028401
2011-11-01,100.331993500217,100.75576368587,108.10277616373,93.282269159457,96.509252446208
2011-10-01,98.698470180956,99.21664742619,105.023658962453,93.309665634357,94.02410304596
2011-09-01,96.421688156033,96.777993119971,101.342606760727,92.134797649405,93.207536572215
2011-08-01,98.527925784361,98.933277230077,103.153550908519,94.640349685602,94.871336280661
2011-07-01,96.095231580367,98.061088967569,100.846788200285,95.227432698348,78.361648627135
2011-06-01,95.920740992079,97.681293564905,102.847021436314,92.426635418038,80.039169268218
2011-05-01,96.19487355126,97.771837619864,102.414061294371,93.049696024709,81.969414824243
2011-04-01,92.792472142165,94.675429978402,96.449178778688,92.87114531302,75.80670847298
2011-03-01,96.007877308071,97.273490258601,102.316298453279,92.143867904719,84.5910510464
2011-02-01,88.676486155913,90.284244823618,91.758209907085,88.784904783484,74.173235875338
2011-01-01,91.651275440243,93.59888821016,95.645546749366,91.51699554477,74.082273313766
2010-12-01,99.240270791032,100.817160142429,108.369251326303,93.135056389951,85.015486072104
2010-11-01,97.592117112888,97.868501948167,105.440189835421,90.166464126451,95.098908075781
2010-10-01,94.782117936345,95.154593011709,101.250294067182,88.953951783724,91.422099203565
2010-09-01,92.795120383253,93.682421229905,99.392598902945,87.873940338806,84.790967451813
2010-08-01,93.517991202418,94.560259333524,98.206257006142,90.851494208688,84.115911233241
2010-07-01,93.275747875846,95.256669811985,98.397299298671,92.061973008491,75.406270818621
2010-06-01,93.38708296822,95.392865880108,100.462076811666,90.236386254627,75.29334031644
2010-05-01,93.138523066559,95.041722816284,98.980822061413,91.034810246557,75.970161384773
2010-04-01,90.858833234145,92.838014549163,94.794461817111,90.847886181709,73.005057951234
2010-03-01,92.892528663919,93.9725639354,97.361889740287,90.524889397296,83.149759323722
2010-02-01,86.696338553677,88.265584744032,89.610515689015,86.897500221784,72.540501171035
2010-01-01,89.1577248009,90.982711430663,92.399652735619,89.541376858448,72.694907102052
2009-12-01,97.818720147751,98.974900444378,106.757706163259,91.058110304785,87.389062669739
2009-11-01,93.478672526169,94.539872026159,101.219595549052,87.745154127322,83.905816689563
2009-10-01,93.318410420269,94.562968921045,101.803239268629,87.19805413759,82.091511888697
2009-09-01,89.520560576119,90.908146806614,94.978005379974,86.768223829359,77.003439200252
2009-08-01,90.640694655298,92.468012357623,94.407485382299,90.4951504525,74.156848844788
2009-07-01,90.950278078832,93.367934547239,95.852531669205,90.840563993927,69.14111134374
2009-06-01,89.032102931605,91.372103771628,94.841088586574,87.843398858599,67.923451166065
2009-05-01,86.76735074665,89.648010450034,93.305934024005,85.927114114212,60.781529932509
2009-04-01,87.383807827591,89.888927082462,91.390108916343,88.361901743596,64.785657827902
2009-03-01,89.526775831331,91.807519161034,94.763455137484,88.800695447722,68.952673510574
2009-02-01,84.268483095481,86.679185495566,86.913319843032,86.441020422414,62.522047537256
2009-01-01,87.463379505251,90.236144977197,91.612469405902,88.836126518606,62.450849691688
2008-12-01,95.354182414525,96.48772276257,102.729731058656,90.138255550528,85.128755115604
2008-11-01,93.935626821454,95.280228174712,104.086231043549,86.322626096568,81.80626291527
2008-10-01,96.636061419591,96.502843060951,107.341190109258,85.477909105144,97.837796005838
2008-09-01,94.419995370323,94.564984920252,102.910871970885,86.075419756326,93.112075361598
2008-08-01,95.855617097902,96.768424828269,103.645228183823,89.773234280841,87.621371973005
2008-07-01,98.336684459017,99.276950417758,107.52853826559,90.88330785885,89.854744473962
2008-06-01,97.155219115891,98.7724794339,106.45158102499,90.961178734231,82.566256461173
2008-05-01,99.006440501176,100.736901885827,108.630163991984,92.707753803707,83.396315009957
2008-04-01,97.145282886492,98.330203703596,105.543231983548,90.992999971939,86.456363262963
2008-03-01,93.08760473805,94.398532295988,98.673013761759,90.050463753303,81.262005004469
2008-02-01,92.758723482083,93.482434634683,98.877934195445,87.994049177855,86.230278518398
2008-01-01,95.39324467394,96.252234988973,102.910188502964,89.479661879308,87.644475049644
2007-12-01,95.819688371973,96.063998074975,101.52973214822,90.504168987666,93.615822306878
2007-11-01,97.363730110507,96.835506577568,106.290727531437,87.21750983975,102.128722678224
2007-10-01,98.802340787266,98.43770083082,110.580542524092,86.085814781457,102.091680572442
2007-09-01,93.068881366149,93.591000092321,101.654904244246,85.388272286625,88.358958966749
2007-08-01,97.245963106129,97.497719498098,105.824179194654,89.027916138687,94.974922037708
2007-07-01,94.73693961938,96.627692538792,103.560809077867,89.575219351641,77.680858156541
2007-06-01,96.168895351503,97.479372264074,106.834179851255,87.963517553179,84.347360794288
2007-05-01,97.741036458621,99.140972748811,108.114284815608,90.013181171337,85.11250781105
2007-04-01,92.615640875519,94.003597147536,97.997275887686,89.941165472796,80.095181433498
2007-03-01,95.311142728424,96.078338929593,104.344121616789,87.670257160923,88.390428355451
2007-02-01,88.839824992312,90.198058287312,95.054928143012,85.257575282627,76.587490228091
2007-01-01,92.642380270872,94.110029971812,100.209931465179,87.90511599355,79.403023292418
2006-12-01,95.863309295038,96.369970772994,105.311614419181,87.274392801908,91.292823456624
2006-11-01,96.19583538698,95.148597263731,106.062495083335,84.046811896898,105.642748602213
2006-10-01,94.905404978541,94.266369398899,105.270152818096,83.073151012374,100.670009540109
2006-09-01,92.174050340806,92.448968057947,101.457133622291,83.28572296465,89.694075865553
2006-08-01,94.175101629799,94.602699615414,102.404413202622,86.66667610023,90.317830803389
2006-07-01,91.979018779413,94.054812880775,101.033984076103,86.955492186225,73.253720021745
2006-06-01,93.874661640541,95.458792176533,105.114554886807,85.636801267842,79.584555729684
2006-05-01,95.299522414184,96.579241962237,105.310434650471,87.697737954831,83.755443525246
2006-04-01,89.746263277533,91.737608420148,96.157581290143,87.241543774778,71.782760683209
2006-03-01,92.202736271568,93.094672169823,101.6057541981,84.437068124115,84.15677152171
2006-02-01,86.488884463296,87.84174218709,93.622387513418,81.961580511084,74.285041587922
2006-01-01,89.340826570209,91.039515228261,98.200538192898,83.755212106277,74.017316113454
2005-12-01,93.312139961865,93.616138692707,103.218466383922,83.848502710411,90.569831823866
