"SF43707.date","SF43707.value"
2006-11-30,69542.2
2006-12-08,69337.6
2006-12-15,69556.1
2006-12-22,69716.8
2006-12-29,67679.7
2007-01-05,68051.9
2007-01-12,68135.5
2007-01-19,67847.8
2007-01-26,67840.2
2007-02-02,67795.2
2007-02-09,68214.4
2007-02-16,68649.7
2007-02-23,68872.9
2007-03-02,68992.2
2007-03-09,69064.9
2007-03-16,69331.9
2007-03-23,69329.9
2007-03-30,69195.5
2007-04-04,69351.5
2007-04-13,69186.6
2007-04-20,69338.4
2007-04-27,69423.2
2007-05-04,69681.3
2007-05-11,69825
2007-05-18,69489.8
2007-05-25,69632.5
2007-06-01,69473.9
2007-06-08,69555.6
2007-06-15,69687.6
2007-06-22,69847.3
2007-06-29,69939.4
2007-07-06,69885.1
2007-07-13,69720.1
2007-07-20,70910.1
2007-07-27,71180.3
2007-08-03,71311.8
2007-08-10,71677.7
2007-08-17,70420.7
2007-08-24,70907
2007-08-31,71060.4
2007-09-07,71425.2
2007-09-14,72279.8
2007-09-21,73241.3
2007-09-28,73224.1
2007-10-05,73234.1
2007-10-12,74023.3
2007-10-19,75308.4
2007-10-26,75522
2007-11-01,75708.9
2007-11-09,75737.9
2007-11-16,75643.6
2007-11-23,76418.2
2007-11-30,77402.5
2007-12-07,77238.7
2007-12-14,77013.4
2007-12-21,77242.1
2007-12-28,77894.1
2008-01-04,78347.7
2008-01-11,78888.1
2008-01-18,79689.5
2008-01-25,79925.2
2008-02-01,80116.3
2008-02-08,79997.9
2008-02-15,80450.8
2008-02-22,80329.7
2008-02-29,81391.6
2008-03-07,82689.8
2008-03-14,82037.8
2008-03-19,82838.9
2008-03-28,82880.9
2008-04-04,83677.1
2008-04-11,84650.2
2008-04-18,84386.4
2008-04-25,84768.6
2008-05-02,84658.3
2008-05-09,84770.2
2008-05-16,84832.5
2008-05-23,85225.6
2008-05-30,84635.9
2008-06-06,85025.5
2008-06-13,84849
2008-06-20,85561.9
2008-06-27,85663
2008-07-04,86105
2008-07-11,86742.8
2008-07-18,86884.7
2008-07-25,78135.1
2008-08-01,78232.7
2008-08-08,78426.2
2008-08-15,78942.5
2008-08-22,79111.4
2008-08-29,80687.5
2008-09-05,81206.4
2008-09-12,81882.4
2008-09-19,81977
2008-09-26,83552.7
2008-10-03,84115.8
2008-10-10,75121.2
2008-10-17,78655
2008-10-24,76570.7
2008-10-31,77135.6
2008-11-07,81115.2
2008-11-14,80863.8
2008-11-21,80983.8
2008-11-28,83396.1
2008-12-05,83963.5
2008-12-11,84662.3
2008-12-19,85374.7
2008-12-26,85273.7
2009-01-02,85186.9
2009-01-09,85118.6
2009-01-16,84512.1
2009-01-23,84045.1
2009-01-30,83630.9
2009-02-06,82084.7
2009-02-13,81555.9
2009-02-20,80933.4
2009-02-27,80060.6
2009-03-06,79822.3
2009-03-13,79329.6
2009-03-20,80619.5
2009-03-27,79004.5
2009-04-03,78401.5
2009-04-08,77984.3
2009-04-17,77910.4
2009-04-24,77491.3
2009-04-30,76849.8
2009-05-08,76313.2
2009-05-15,76550.6
2009-05-22,76185
2009-05-29,75653.1
2009-06-05,74484.5
2009-06-12,74717.5
2009-06-19,74375.7
2009-06-26,74380.4
2009-07-03,74124.5
2009-07-10,73699
2009-07-17,73626.2
2009-07-24,73514.5
2009-07-31,73269
2009-08-07,72598.4
2009-08-14,73587
2009-08-21,73163.5
2009-08-28,76374.5
2009-09-04,76458.8
2009-09-11,77005.3
2009-09-18,76542.4
2009-09-25,76138.4
2009-10-02,78301.9
2009-10-09,79239.5
2009-10-16,80137.4
2009-10-23,80050.5
2009-10-30,79778.5
2009-11-06,79927.7
2009-11-13,80873.9
2009-11-20,80834
2009-11-27,81877
2009-12-04,81645.9
2009-12-11,87561.9
2009-12-18,87069.7
2009-12-24,90930.6
2009-12-31,90837.8
2010-01-08,90993.6
2010-01-15,91347.1
2010-01-22,91187.5
2010-01-29,92554.8
2010-02-05,93476.1
2010-02-12,93426.6
2010-02-19,93750.1
2010-02-26,94469.9
2010-03-05,94545.4
2010-03-12,94789.5
2010-03-19,94918.4
2010-03-26,94478.1
2010-03-31,95682.3
2010-04-09,96219.6
2010-04-16,97433.3
2010-04-23,97328
2010-04-30,97401.8
2010-05-07,98078.2
