"inpcgeneral.date.sq.","inpcgeneral.values.sq.","inpcsub_total.values.sq.","inpcmerc.values.sq.","inpcserv.values.sq.","inpcnosub.values.sq.","inpcagro.values.sq.","inpcenerg.values.sq."
2009-03-01,69.8954600316778,73.3741952701427,69.1593358479581,77.1711992515799,60.0820830147102,60.5061640102378,59.7901977170772
2009-02-01,69.6799491594266,73.1770214687245,68.9165798447996,77.019386461155,59.8190213921478,59.7828539538378,59.813069973252
2009-02-01,69.5390382044939,73.0175261725517,68.707237469975,76.9092528696386,59.7294210878236,59.6813914345544,59.7308783423429
2009-01-01,69.4204036137598,72.8169487416692,68.461264779619,76.7538686881676,59.82845677925,60.1312209245733,59.6120285370648
2009-01-01,69.4918952011892,72.7006889452684,68.3478181440838,76.6353665254598,60.3949633202622,60.9949476991349,59.9936962199525
2008-12-01,69.3882842049147,72.5043953205306,67.9822658912056,76.6051855266383,60.5387076934344,61.4622295171289,59.9364592949537
2008-12-01,69.2028205215833,72.3768989307632,67.7402734793837,76.5900340881843,60.1998203976641,60.4929706264779,59.9891858908388
2008-11-01,68.889915312835,72.0772322779375,67.3939093125208,76.3372620472528,59.85639399366,59.6600186274809,59.9499119163212
2008-11-01,68.7479682479393,71.9809784116193,67.2223838732856,76.3149195522227,59.5938910464397,58.946828549266,59.967404759884
2008-10-01,68.1050620160571,71.7658337939166,66.9299733911197,76.176149262868,57.8254709721791,57.5931783227412,57.9422576671169
2008-10-01,67.98539131536,71.6394752181074,66.8738288014449,75.9817831800575,57.723864596242,57.4468765276688,57.8684548496385
2008-09-01,67.6559083472084,71.5402307272971,66.7743796437089,75.8831690605279,56.7877271220351,57.1410003057466,56.5413775771018
2008-09-01,67.5139612823119,71.4557034424279,66.6824804803086,75.8062062375987,56.4951745898146,56.6258492499792,56.3871949130869
2008-08-01,67.2197060528931,71.1704026003521,66.5224711818661,75.3998106707464,56.1797011850135,56.2561472837317,56.1055466057915
2008-08-01,67.0357965345063,70.9956848872338,66.2625624342727,75.3090299008532,55.9723781201529,56.3065172255659,55.7382978496936
2008-07-01,66.8296106519202,70.8356669702463,66.0379996480919,75.2127266134677,55.6465860330048,56.2225588032351,55.262484792566
2008-07-01,66.6550261231978,70.7456269700282,65.9461484886244,75.1248456041477,55.2499185804966,55.4713538117534,55.086169148756
2008-06-01,66.4006611273446,70.5818635374182,65.8223936089501,74.9227289731509,54.7571228472008,54.7658033604032,54.7257255079719
2008-06-01,66.3441931343748,70.4334927951684,65.7630864278511,74.6880418308832,54.9459728525726,55.2587542520826,54.7256429427255
