"total.date","total.values","pub.values","priv.values","edif.values","agua.values","elec.values","trans.values","petr.values","otras.values"
2014-08-01,100.23023949,89.89564774,108.5044183,113.16829264,74.54908601,111.98162044,93.48724194,75.7049892,119.12758588
2014-07-01,96.33079283,87.63996029,99.87191567,99.44307604,72.80289241,118.37803223,81.51385601,84.83114159,115.33781957
2014-06-01,96.26432455,85.279604,109.67734012,115.18524053,76.68355484,148.53891909,86.16799069,66.71072744,105.32181831
2014-05-01,95.91211318,86.80503512,103.0062637,99.42812698,98.8462574,92.75187392,85.60623314,94.32507178,92.18240309
2014-04-01,93.27917336,86.4544968,101.17132747,92.43768738,85.10752156,112.17988949,90.70590963,72.58714634,102.69751775
2014-03-01,92.55440923,82.66345122,99.96936198,94.98739182,90.1043123,110.50279217,83.17041653,61.58500047,106.26132704
2014-02-01,92.71251472,88.08381053,100.10676487,120.79075229,92.76219308,154.84069128,92.78059467,55.81466137,98.74196645
2014-01-01,91.51298687,87.67851724,98.10434865,94.57429944,87.46887748,92.77838469,94.98207179,55.75293273,99.33335792
2013-12-01,112.40824472,115.77706922,112.14982693,119.23424312,124.18102028,114.30746521,108.79888066,102.70128658,119.28966122
2013-11-01,106.59899058,105.09085537,105.01020893,101.79845415,112.55129219,99.60046659,106.66082885,95.56704918,100.75469459
2013-10-01,105.98355496,103.51934172,104.97120205,104.58340265,118.04942194,106.81765204,107.69770933,88.97961591,93.01383841
2013-09-01,98.68368462,100.17052799,98.8957946,93.04705162,95.8856301,76.74020741,109.93142513,86.3868472,107.01538865
2013-08-01,100.09293254,99.0598261,97.63597682,93.38487988,106.46250577,127.11875106,96.90538672,91.25809375,109.16851959
2013-07-01,101.13617894,109.34634477,96.24549476,92.00626412,111.73008084,109.33549664,98.48535284,145.00086459,109.82191118
2013-06-01,98.24327705,104.4603785,89.58878733,90.91617395,91.99057923,100.0256456,96.16978863,142.0497374,96.08238781
2013-05-01,98.79815864,104.63241782,93.89861062,91.11694277,102.16952885,104.8634156,107.10717237,119.52026976,107.37180252
2013-04-01,97.30518352,94.73793906,102.26610958,100.61040406,99.31088854,91.98510364,102.18249613,88.04347724,110.66182061
2013-03-01,93.93094957,89.03114943,99.85349217,98.41093528,71.31343146,96.15989768,91.41486289,85.53590384,87.57941347
2013-02-01,93.58345376,86.25178067,102.52693577,111.07584419,73.21230284,88.35837635,86.3094225,74.57121029,79.39587208
2013-01-01,93.23539105,87.92236981,96.95755988,103.81540381,93.14331741,84.6875212,88.33667394,80.38564388,79.84468995
2012-12-01,116.06858246,125.41152233,109.35891067,130.56688926,137.9079867,93.76895062,116.59457901,110.80241641,100.40450674
2012-11-01,115.46245898,117.00517185,110.65546386,123.69608389,139.94045918,79.77649899,117.55428602,100.78861999,93.34753236
2012-10-01,118.41196175,123.42871262,107.09210006,112.37908851,144.31219363,80.52473676,129.77501185,86.62528318,100.93033522
2012-09-01,111.99816248,119.16992685,101.49630751,106.45336517,152.73654128,72.67080643,131.65702475,87.20043204,94.06043224
2012-08-01,109.41898124,119.76911286,98.29555553,106.15778395,140.93117388,83.39013891,129.42163023,84.44122596,69.31629114
2012-07-01,107.74981734,111.59939707,97.57310205,117.84860034,157.89417823,68.12817188,120.56534776,81.80458301,72.1443767
2012-06-01,104.89273234,110.62901956,92.94232498,115.05812173,143.44985385,71.81358863,109.78981067,73.78381431,62.59399225
2012-05-01,105.07663068,115.75778837,95.27549017,116.69305532,140.99123937,71.70611492,111.87793464,74.79425317,65.02620216
2012-04-01,98.67098091,112.75667723,82.22956093,113.9590577,163.23891846,64.75689042,106.13384277,64.70164469,53.42584936
2012-03-01,97.58074295,101.95785966,87.24561887,110.06817745,129.4855138,70.2608331,103.21434936,68.0707657,53.64478579
2012-02-01,93.88306191,99.60781507,85.85842883,113.05253261,125.03215221,76.53064593,104.55082876,44.37426885,59.96770434
2012-01-01,95.23916192,97.82378892,85.5296545,109.34238537,133.71902814,73.00336962,92.10083838,55.29457815,57.41831693
2011-12-01,115.15029933,127.28000286,99.54595357,121.92342656,134.5152908,91.63635657,139.51258027,119.16313609,82.0802943
2011-11-01,110.49199586,122.21450121,94.80502706,116.46106954,119.32488011,82.17959407,138.23989999,102.92003994,73.99992246
2011-10-01,111.19772247,120.60476966,97.33161873,115.2311204,153.51000866,74.22753316,143.63896826,99.44085237,79.50521373
2011-09-01,105.82386311,126.34751072,90.17113641,108.60424765,161.74163474,68.41451331,140.04211449,97.29577001,69.21982432
2011-08-01,101.19068635,114.99211073,87.22483533,101.5995788,148.96199337,73.8808416,139.87413484,77.98730409,59.25634775
2011-07-01,97.54589979,107.18541774,85.26636127,100.85469769,125.50268656,72.54232796,130.34297345,83.00246418,45.63520624
